
Append with new capture

001 survey.b  006289  24  XI  21 113404.0 00000000
002 survey.b  008731  25  XI  21 114751.1 0000F5AA


/Gem Systems GSM-19TW 9113462 v7.0 3 II 2017 M t-ew3.v7                           
/ID 1 file 02survey.b   25 XI 21
/datum  00000.00
/
/time nT sq 
115558.0  29872.07 94 
115559.0  29915.05 94 
115600.0  00000.00 96 
115601.0  29877.30 95 
115602.0  29876.69 95 
115603.0  29874.35 95 
115604.0  29841.72 94 
115605.0  29863.39 94 
115606.0  29845.71 95 
115607.0  29947.79 95 
115608.0  29870.04 96 
115609.0  29882.41 95 
115610.0  29889.66 95 
115611.0  29899.52 94 
115612.0  29866.40 95 
115613.0  29866.37 94 
115614.0  29905.37 95 
115615.0  29910.00 95 
115616.0  00000.00 04 
115617.0  29894.00 94 
115618.0  29896.66 35 
115619.0  29717.25 95 
115620.0  29937.86 95 
115621.0  29850.70 84 
115622.0  29839.56 95 
115623.0  29867.35 94 
115624.0  29543.71 15 
115625.0  29856.92 95 
115626.0  29889.47 96 
115627.0  26396.68 05 
115628.0  29900.71 96 
115629.0  00000.00 04 
115630.0  29833.25 95 
115631.0  29900.90 95 
115632.0  29891.53 95 
115633.0  29849.46 96 
115634.0  29885.77 93 
115635.0  29875.03 96 
115636.0  29882.58 95 
115637.0  29840.41 95 
115638.0  29831.56 95 
115639.0  29864.44 96 
115640.0  29872.03 94 
115641.0  29868.18 96 
115642.0  29878.52 95 
115643.0  29898.51 95 
115644.0  29882.40 95 
115645.0  29857.12 95 
115646.0  29868.09 94 
115647.0  29878.90 93 
115648.0  29946.95 95 
115649.0  29883.19 95 
115650.0  29881.21 95 
115651.0  29825.83 95 
115652.0  29910.01 95 
115653.0  29844.70 95 
115654.0  29743.41 06 
115655.0  29892.35 96 
115656.0  29866.77 95 
115657.0  29859.75 95 
115658.0  29874.55 95 
115659.0  29895.42 93 
115700.0  29862.38 95 
115701.0  29905.73 94 
115702.0  29847.32 95 
115703.0  29896.12 96 
115704.0  29839.58 95 
115705.0  29859.86 95 
115706.0  29914.43 96 
115707.0  29860.12 95 
115708.0  29825.25 95 
115709.0  29939.65 94 
115710.0  29847.62 94 
115711.0  29851.20 95 
115712.0  29881.07 94 
115713.0  29889.70 96 
115714.0  29914.45 95 
115715.0  29860.17 93 
115716.0  29893.11 95 
115717.0  29928.66 94 
115718.0  29843.75 95 
115719.0  29878.88 94 
115720.0  29918.96 94 
115721.0  29862.45 95 
115722.0  29137.09 16 
115723.0  29875.83 95 
115724.0  30031.22 35 
115725.0  29877.59 95 
115726.0  00000.00 94 
115727.0  29848.69 94 
115728.0  29929.58 95 
115729.0  29885.30 94 
115730.0  29912.36 95 
115731.0  29901.21 95 
115732.0  29879.43 95 
115733.0  29916.03 95 
115734.0  29849.46 95 
115735.0  29826.77 94 
115736.0  29648.94 06 
115737.0  29906.07 97 
115738.0  29910.74 96 
115739.0  29907.89 24 
115740.0  29878.65 95 
115741.0  29859.75 95 
115742.0  29845.65 95 
115743.0  29852.97 95 
115744.0  29937.00 95 
115745.0  29861.31 94 
115746.0  29794.39 54 
115747.0  29893.95 94 
115748.0  29851.13 94 
115749.0  29852.90 96 
115750.0  29852.71 94 
115751.0  29885.81 95 
115752.0  29893.43 95 
115753.0  29898.78 95 
115754.0  29745.43 24 
115755.0  29876.30 94 
115756.0  29896.76 94 
115757.0  29931.18 96 
115758.0  29917.78 96 
115759.0  29850.19 95 
115800.0  29891.72 96 
115801.0  29885.68 94 
115802.0  29832.66 95 
115803.0  00000.00 96 
115804.0  29880.22 95 
115805.0  29842.16 94 
115806.0  29891.51 55 
115807.0  29918.13 94 
115808.0  29841.23 96 
115809.0  29830.54 96 
115810.0  29865.97 95 
115811.0  30069.71 26 
115812.0  29861.77 96 
115813.0  30318.18 06 
115814.0  29861.00 95 
115815.0  29879.86 46 
115816.0  29895.13 94 
115817.0  29862.13 93 
115818.0  29958.02 96 
115819.0  29900.72 95 
115820.0  29854.57 96 
115821.0  29914.52 95 
115822.0  29873.11 94 
115823.0  29878.18 95 
115824.0  30328.31 05 
115825.0  29853.33 95 
115826.0  29847.23 75 
115827.0  29835.04 94 
115828.0  00000.00 96 
115829.0  29871.06 94 
115830.0  29896.47 94 
115831.0  29842.12 95 
115832.0  29871.49 86 
115833.0  29874.02 94 
115834.0  29840.62 94 
115835.0  29895.34 95 
115836.0  29842.41 94 
115837.0  29894.82 96 
115838.0  29914.24 26 
115839.0  29835.00 94 
115840.0  29831.34 95 
115841.0  29852.50 95 
115842.0  29816.63 96 
115843.0  29851.54 94 
115844.0  29833.75 94 
115845.0  29836.90 95 
115846.0  29854.66 95 
115847.0  29888.31 95 
115848.0  29850.15 95 
115849.0  29886.64 96 
115850.0  29840.82 94 
115851.0  29880.17 95 
115852.0  29872.03 95 
115853.0  29851.55 96 
115854.0  29853.68 96 
115855.0  29877.45 95 
115856.0  29865.94 95 
115857.0  29849.37 95 
115858.0  29895.29 94 
115859.0  29906.67 95 
115900.0  29923.70 94 
115901.0  29917.62 95 
115902.0  29885.04 95 
115903.0  29844.18 95 
115904.0  29994.17 24 
115905.0  29882.90 65 
115906.0  29868.37 95 
115907.0  29838.59 95 
115908.0  29885.62 94 
115909.0  29820.46 96 
115910.0  29890.56 96 
115911.0  29845.25 96 
115912.0  29920.22 94 
115913.0  29899.14 94 
115914.0  29902.17 95 
115915.0  29885.95 94 
115916.0  29832.30 94 
115917.0  29901.53 95 
115918.0  29865.83 95 
115919.0  29909.26 96 
115920.0  29850.23 94 
115921.0  29894.70 94 
115922.0  29891.22 95 
115923.0  29760.00 35 
115924.0  00000.00 94 
115925.0  29860.59 96 
115926.0  29864.87 95 
115927.0  29897.80 95 
115928.0  29826.41 75 
115929.0  29839.75 95 
115930.0  29909.66 95 
115931.0  29867.21 96 
115932.0  29842.88 94 
115933.0  29862.81 94 
115934.0  29864.48 95 
115935.0  29874.98 95 
115936.0  29917.77 96 
115937.0  29835.62 34 
115938.0  29867.55 94 
115939.0  29862.76 94 
115940.0  29810.46 95 
115941.0  29895.18 94 
115942.0  29938.74 95 
115943.0  29847.83 96 
115944.0  29872.91 95 
115945.0  29822.63 85 
115946.0  29898.87 95 
115947.0  29823.42 95 
115948.0  29838.85 95 
115949.0  29923.94 96 
115950.0  29891.63 94 
115951.0  29893.49 97 
115952.0  29909.56 95 
115953.0  29898.60 95 
115954.0  29824.30 94 
115955.0  29888.81 96 
115956.0  29829.72 95 
115957.0  29892.56 94 
115958.0  30304.40 04 
115959.0  29874.41 96 
120000.0  29867.68 45 
120001.0  29869.51 94 
120002.0  29869.74 96 
120003.0  29880.87 95 
120004.0  29872.67 95 
120005.0  29831.96 94 
120006.0  00000.00 95 
120007.0  29866.05 93 
120008.0  29842.39 94 
120009.0  29927.78 95 
120010.0  34590.04 06 
120011.0  29876.61 95 
120012.0  00000.00 04 
120013.0  29830.73 96 
120014.0  29880.73 94 
120015.0  29898.62 95 
120016.0  29846.76 96 
120017.0  29867.85 95 
120018.0  29824.92 96 
120019.0  29858.87 95 
120020.0  29734.75 14 
120021.0  29875.94 95 
120022.0  29827.06 95 
120023.0  29844.54 95 
120024.0  29882.73 96 
120025.0  29846.89 95 
120026.0  00000.00 95 
120027.0  29904.61 94 
120028.0  29835.34 96 
120029.0  29883.67 95 
120030.0  33046.77 03 
120031.0  29865.38 95 
120032.0  33100.91 53 
120033.0  29870.76 96 
120034.0  33146.57 55 
120035.0  29904.53 95 
120036.0  33057.49 24 
120037.0  29900.79 96 
120038.0  00000.00 04 
120039.0  29893.93 95 
120040.0  29763.21 94 
120041.0  29885.83 95 
120042.0  29830.83 94 
120043.0  30052.28 04 
120044.0  29868.27 95 
120045.0  29857.88 94 
120046.0  29853.93 95 
120047.0  29871.57 94 
120048.0  29958.53 05 
120049.0  29862.54 95 
120050.0  29903.93 95 
120051.0  29886.44 94 
120052.0  29863.53 94 
120053.0  29336.93 05 
120054.0  29911.83 95 
120055.0  29838.30 95 
120056.0  00000.00 95 
120057.0  29928.09 44 
120058.0  29885.32 95 
120059.0  29886.03 94 
120100.0  29878.39 96 
120101.0  29906.48 65 
120102.0  29831.57 95 
120103.0  29879.55 94 
120104.0  29876.36 94 
120105.0  29868.20 94 
120106.0  29894.30 96 
120107.0  29909.25 95 
120108.0  29867.06 95 
120109.0  29822.99 95 
120110.0  29846.19 95 
120111.0  29886.97 95 
120112.0  29904.93 95 
120113.0  29827.64 96 
120114.0  29810.64 94 
120115.0  29727.27 25 
120116.0  29870.21 95 
120117.0  00000.00 05 
120118.0  29858.49 95 
120119.0  00000.00 03 
120120.0  29824.98 64 
120121.0  29900.50 45 
120122.0  29927.18 94 
120123.0  29865.83 94 
120124.0  29919.76 95 
120125.0  29922.64 95 
120126.0  29944.29 96 
120127.0  29814.64 95 
120128.0  29828.81 95 
120129.0  29852.89 95 
120130.0  29879.59 94 
120131.0  00000.00 95 
120132.0  29850.18 94 
120133.0  29866.96 95 
120134.0  29797.60 94 
120135.0  29868.80 95 
120136.0  29918.63 94 
120137.0  29847.34 94 
120138.0  29930.31 94 
120139.0  29896.75 94 
120140.0  29871.38 94 
120141.0  29816.69 95 
120142.0  29879.82 94 
120143.0  29848.71 95 
120144.0  29836.57 94 
120145.0  29858.12 94 
120146.0  29841.21 95 
120147.0  29893.47 96 
120148.0  29838.45 95 
120149.0  29847.47 95 
120150.0  29879.12 95 
120151.0  29908.70 95 
120152.0  29885.02 96 
120153.0  29907.24 94 
120154.0  29935.38 96 
120155.0  29861.35 94 
120156.0  29855.81 96 
120157.0  29885.13 95 
120158.0  29875.39 95 
120159.0  00000.00 94 
120200.0  29855.50 95 
120201.0  29878.91 96 
120202.0  29933.49 64 
120203.0  29902.70 95 
120204.0  29855.29 95 
120205.0  29837.57 95 
120206.0  29805.84 94 
120207.0  29883.25 95 
120208.0  29866.16 94 
120209.0  32151.58 04 
120210.0  29924.43 95 
120211.0  32394.01 15 
120212.0  29902.19 94 
120213.0  32260.58 26 
120214.0  29868.68 94 
120215.0  00000.00 05 
120216.0  00000.00 03 
120217.0  29826.42 95 
120218.0  29823.49 95 
120219.0  29872.53 95 
120220.0  29856.73 34 
120221.0  29954.31 94 
120222.0  29875.39 95 
120223.0  29867.55 95 
120224.0  29836.83 55 
120225.0  29819.66 95 
120226.0  29841.92 94 
120227.0  29935.22 94 
120228.0  29844.71 95 
120229.0  29856.88 96 
120230.0  29882.02 94 
120231.0  29936.47 95 
120232.0  29811.29 94 
120233.0  29846.47 95 
120234.0  29852.20 94 
120235.0  29867.27 95 
120236.0  29902.57 95 
120237.0  29857.82 96 
120238.0  29698.72 75 
120239.0  29894.65 94 
120240.0  29861.35 95 
120241.0  29841.23 96 
120242.0  29872.71 96 
120243.0  29895.42 94 
120244.0  29656.34 05 
120245.0  29849.02 95 
120246.0  29785.28 95 
120247.0  29848.78 95 
120248.0  29824.13 95 
120249.0  29840.11 84 
120250.0  29861.13 95 
120251.0  29856.18 94 
120252.0  29836.57 95 
120253.0  29827.83 95 
120254.0  29863.47 95 
120255.0  30805.66 03 
120256.0  00000.00 94 
120257.0  30019.18 24 
120258.0  30419.83 45 
120259.0  29893.92 93 
120300.0  29873.90 94 
120301.0  29804.83 85 
120302.0  29853.91 95 
120303.0  29849.74 96 
120304.0  29883.91 94 
120305.0  30292.87 04 
120306.0  29881.92 94 
120307.0  29849.40 95 
120308.0  29874.88 95 
120309.0  00000.00 94 
120310.0  29873.67 95 
120311.0  29868.89 95 
120312.0  33124.56 04 
120313.0  29860.14 95 
120314.0  33007.49 24 
120315.0  29909.26 94 
120316.0  32930.85 45 
120317.0  29862.22 95 
120318.0  00000.00 05 
120319.0  29911.38 95 
120320.0  29859.83 95 
120321.0  00000.00 94 
120322.0  29816.22 95 
120323.0  29814.55 94 
120324.0  28950.43 05 
120325.0  29877.38 95 
120326.0  29565.33 65 
120327.0  29874.74 94 
120328.0  29820.06 96 
120329.0  29851.02 95 
120330.0  29910.50 94 
120331.0  29855.94 96 
120332.0  29908.01 94 
120333.0  29858.43 95 
120334.0  29866.60 95 
120335.0  29864.81 95 
120336.0  29873.39 95 
120337.0  29840.43 95 
120338.0  29812.72 55 
120339.0  29915.71 94 
120340.0  29924.00 95 
120341.0  29872.22 94 
120342.0  29815.93 96 
120343.0  29844.80 95 
120344.0  29802.07 96 
120345.0  29887.16 97 
120346.0  29866.70 95 
