

/Gem Systems GSM-19TW 9113462 v7.0 11 VI 2009 M t-ew3.v7                           
/ID 1 file 01survey.b   10 II 14
/datum  00000.00
/
/time nT sq 
101324.0  48546.41 99 
101326.0  48546.48 99 
101328.0  48546.57 99 
101330.0  48550.38 99 
101332.0  48549.01 99 
101334.0  48545.18 99 
101336.0  48546.63 99 
101338.0  48549.24 99 
101340.0  48547.34 99 
101342.0  48544.17 99 
101344.0  48547.59 99 
101346.0  48549.79 99 
101348.0  48545.70 99 
101350.0  48547.40 99 
101352.0  48549.41 99 
101354.0  48550.90 98 
101356.0  48549.67 99 
101358.0  48547.16 99 
101400.0  48548.46 99 
101402.0  48549.98 99 
101404.0  48549.33 99 
101406.0  48547.10 99 
101408.0  48549.77 98 
101410.0  48549.03 99 
101412.0  48549.88 99 
101414.0  48549.62 99 
101416.0  48546.90 99 
101418.0  48549.60 99 
101420.0  48548.56 99 
101422.0  48547.19 99 
101424.0  48547.68 98 
101426.0  48547.81 99 
101428.0  48546.42 99 
101430.0  48547.00 99 
101432.0  48546.77 99 
101434.0  48548.07 99 
101436.0  48546.30 99 
101438.0  48548.33 99 
101440.0  48548.21 99 
101442.0  48548.43 99 
101444.0  48549.34 99 
101446.0  48549.97 98 
101448.0  48548.41 99 
101450.0  48550.56 89 
101452.0  48548.30 99 
101454.0  48550.50 99 
101456.0  48549.36 99 
101458.0  48544.13 99 
101500.0  48549.07 99 
101502.0  48547.33 99 
101504.0  48549.30 99 
101506.0  48548.53 99 
101508.0  48548.62 99 
101510.0  48546.72 99 
101512.0  48549.38 99 
101514.0  48550.78 99 
101516.0  48551.40 99 
101518.0  48547.13 99 
101520.0  48546.86 99 
101522.0  48547.41 99 
101524.0  48548.39 99 
101526.0  48546.93 99 
101528.0  48547.86 99 
101530.0  48549.39 98 
101532.0  48547.43 99 
101534.0  48547.45 99 
101536.0  48547.66 99 
101538.0  48546.38 99 
101540.0  48548.92 99 
101542.0  48550.68 99 
101544.0  48548.22 99 
101546.0  48546.50 99 
101548.0  48548.86 98 
101550.0  48550.84 99 
101552.0  48546.94 99 
101554.0  48549.62 98 
101556.0  48549.87 99 
101558.0  48549.65 98 
101600.0  48550.47 99 
101602.0  48547.06 99 
101604.0  48547.97 99 
101606.0  48546.89 99 
101608.0  48548.00 99 
101610.0  48548.29 99 
101612.0  48549.41 99 
101614.0  48545.97 99 
101616.0  48548.96 99 
101618.0  48553.18 99 
101620.0  48548.15 99 
101622.0  48548.46 99 
101624.0  48550.36 99 
101626.0  48550.22 99 
101628.0  48553.35 99 
101630.0  48551.89 99 
101632.0  48553.60 99 
101634.0  48552.16 99 
101636.0  48550.50 99 
101638.0  48551.23 99 
101640.0  48553.87 99 
101642.0  48551.06 98 
101644.0  48550.55 99 
101646.0  48546.98 99 
101648.0  48548.39 98 
101650.0  48550.96 99 
101652.0  48549.41 99 
101654.0  48552.69 89 
101656.0  48547.27 99 
101658.0  48548.81 99 
101700.0  48550.14 99 
101702.0  48551.69 99 
101704.0  48550.75 99 
101706.0  48551.99 99 
101708.0  48550.18 99 
101710.0  48544.23 98 
101712.0  48544.60 99 
101714.0  48547.23 99 
101716.0  48547.26 99 
101718.0  48549.26 99 
101720.0  48545.84 98 
101722.0  48549.54 97 
101724.0  48550.61 99 
101726.0  48549.06 99 
101728.0  48549.79 99 
101730.0  48550.38 99 
101732.0  48549.38 99 
101734.0  48547.35 99 
101736.0  48547.71 99 
101738.0  48549.58 99 
101740.0  48551.11 98 
101742.0  48548.89 99 
101744.0  48552.51 98 
101746.0  48553.09 98 
101748.0  48547.22 99 
101750.0  48548.62 99 
101752.0  48548.57 99 
101754.0  48550.74 99 
101756.0  48549.51 99 
101758.0  48546.05 99 
101800.0  48553.19 99 
101802.0  48547.12 99 
101804.0  48550.08 99 
101806.0  48552.03 99 
101808.0  48549.67 99 
101810.0  48550.57 99 
101812.0  48548.42 99 
101814.0  48552.84 98 
101816.0  48551.01 99 
101818.0  48547.62 99 
101820.0  48551.40 98 
101822.0  48547.58 99 
101824.0  48547.80 99 
101826.0  48552.57 99 
101828.0  48548.91 99 
101830.0  48552.04 99 
101832.0  48550.56 98 
101834.0  48551.82 99 
101836.0  48555.54 99 
101838.0  48551.13 99 
101840.0  48546.04 99 
101842.0  48548.79 98 
101844.0  48550.05 99 
101846.0  48548.99 99 
101848.0  48549.01 98 
101850.0  48547.32 99 
